jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
10,,,Ciências do Mar,Eng. Mecânica,900.1,107.6,981.5,106.5,36.18,0.00,63.82,1,
10,,,Design,Música,1206.8,65.3,783.5,126.5,96.24,0.00,3.76,1,
10,,,Eng. e Gestão Industrial,Eng. Eletrónica e Telecomunicações,1285.3,100.3,1146.3,61.4,73.73,0.00,26.27,1,
10,,,Eng. Informática,Tecnologias de Informação,1150.7,119.1,725.5,121.3,94.80,0.00,5.20,1,
10,,,Gestão e Planeamento em Turismo,Eng. Computadores e Telemática,791.8,108.1,638.0,66.9,75.67,0.00,24.33,1,
10,,,Línguas e Relações Empresariais,Eng. Biomédica,1025.9,121.4,783.7,88.6,84.36,0.00,15.64,1,
10,,,Economia,Bioquímica,399.9,66.1,503.3,118.1,33.40,0.00,66.60,2,A
10,,,Eng. do Ambiente,Biotecnologia,685.9,109.6,252.3,68.7,96.43,0.00,3.57,2,A
10,,,Eng. de Materiais,Biologia,469.9,98.4,668.2,93.4,19.31,0.00,80.69,2,A
10,,,Fisioterapia,Administração Pública,946.9,42.2,765.3,75.0,81.14,0.00,18.86,2,A
10,,,Geologia,Ciências Biomédicas,476.1,91.2,699.7,98.2,16.40,0.00,83.60,2,A
10,,,Eng. Computacional,Eng. Eletrónica e Telecomunicações B,314.1,116.5,156.2,103.6,75.30,0.00,24.70,2,B
10,,,Eng. Física,Contabilidade,679.1,110.5,623.7,77.0,61.08,0.00,38.92,2,B
10,,,Física,Eng. Civil,573.1,107.9,437.8,129.9,70.21,0.00,29.79,2,B
10,,,Gestão,Matemática,452.5,130.5,303.2,104.0,71.86,0.00,28.14,2,B
10,,,Psicologia,Eng. Informática B,167.9,99.1,374.5,130.8,20.18,0.00,79.82,2,B
11,,,Eng. Computadores e Telemática,Línguas e Relações Empresariais,637.7,80.2,1026.2,126.4,5.92,0.00,94.08,1,
11,,,Eng. Eletrónica e Telecomunicações,Eng. Informática,1147.1,75.6,1150.5,121.5,49.77,0.00,50.23,1,
11,,,Eng. Biomédica,Eng. e Gestão Industrial,783.4,95.1,1284.5,109.1,2.50,0.00,97.50,1,
11,,,Eng. Mecânica,Design,980.7,116.3,1207.0,68.2,16.04,0.00,83.96,1,
11,,,Música,Gestão e Planeamento em Turismo,783.3,128.1,792.0,116.1,49.80,0.00,50.20,1,
11,,,Tecnologias de Informação,Ciências do Mar,725.7,123.6,900.8,116.7,24.00,0.00,76.00,1,
11,,,Administração Pública,Geologia,766.0,86.2,476.1,98.1,90.11,0.00,9.89,2,A
11,,,Biologia,Eng. do Ambiente,668.0,101.8,686.0,111.1,48.09,0.00,51.91,2,A
11,,,Bioquímica,Fisioterapia,502.6,127.3,946.2,59.6,3.65,0.00,96.35,2,A
11,,,Biotecnologia,Economia,252.2,71.7,400.6,80.8,24.47,0.00,75.53,2,A
11,,,Medicina,Eng. de Materiais,417.0,86.7,470.1,105.3,41.32,0.00,58.68,2,A
11,,,Contabilidade,Eng. Computacional,623.0,90.1,314.8,123.4,89.51,0.00,10.49,2,B
11,,,Eng. Eletrónica e Telecomunicações B,Psicologia,155.5,111.4,167.8,106.6,48.20,0.00,51.80,2,B
11,,,Eng. Informática B,Física,374.6,136.2,573.3,116.2,22.28,0.00,77.72,2,B
11,,,MTC,Gestão,372.8,129.5,452.1,137.7,37.87,0.00,62.13,2,B
11,,,Matemática,Eng. Física,303.6,112.5,679.8,120.4,7.48,0.00,92.52,2,B
