jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,distribuicao_placares,divisao,grupo
8,,,Eng. Computadores e Telemática,Design,637.9,50.2,1206.8,58.1,0.7600,0.0000,99.2400,0-2:73.9600%|1-2:25.2800%|2-0:0.5500%|2-1:0.2100%,1,
8,,,Eng. e Gestão Industrial,Eng. Mecânica,1282.9,97.2,983.6,92.0,89.7700,0.0000,10.2300,2-0:61.7100%|2-1:28.0600%|0-2:5.6600%|1-2:4.5700%,1,
8,,,Eng. Informática,Ciências do Mar,1152.2,105.9,899.8,97.5,85.6100,0.0000,14.3900,2-0:56.6300%|2-1:28.9800%|0-2:7.4000%|1-2:6.9900%,1,
8,,,Gestão e Planeamento em Turismo,Eng. Eletrónica e Telecomunicações,790.7,91.2,1145.3,33.6,5.8200,0.0000,94.1800,0-2:68.0200%|1-2:26.1600%|2-0:3.7900%|2-1:2.0300%,1,
8,,,Línguas e Relações Empresariais,Tecnologias de Informação,1026.8,106.9,727.5,117.6,88.0700,0.0000,11.9300,2-0:59.3000%|2-1:28.7700%|0-2:6.4000%|1-2:5.5300%,1,
8,,,Música,Eng. Biomédica,783.2,110.1,782.3,55.2,51.0200,0.0000,48.9800,2-1:26.8800%|0-2:24.6200%|1-2:24.3600%|2-0:24.1400%,1,
8,,,Economia,Ciências Biomédicas,399.8,53.8,701.3,85.3,8.0200,0.0000,91.9800,0-2:65.3200%|1-2:26.6600%|2-0:4.8300%|2-1:3.1900%,2,A
8,,,Eng. do Ambiente,Administração Pública,684.8,91.6,765.7,52.5,34.6900,0.0000,65.3100,1-2:33.8100%|0-2:31.5000%|2-1:19.8700%|2-0:14.8200%,2,A
8,,,Eng. de Materiais,Bioquímica,468.7,73.7,501.6,99.5,44.5200,0.0000,55.4800,1-2:28.8900%|0-2:26.5900%|2-1:24.3700%|2-0:20.1500%,2,A
8,,,Fisioterapia,Geologia,946.8,16.2,477.5,91.3,98.1700,0.0000,1.8300,2-0:72.0900%|2-1:26.0800%|0-2:1.2200%|1-2:0.6100%,2,A
8,,,Medicina,Biotecnologia,418.4,67.0,252.2,38.0,80.7100,0.0000,19.2900,2-0:46.6100%|2-1:34.1000%|0-2:9.9700%|1-2:9.3200%,2,A
8,,,Eng. Computacional,Eng. Civil,314.9,96.2,438.4,116.0,31.1700,0.0000,68.8300,0-2:38.8400%|1-2:29.9900%|2-1:17.3900%|2-0:13.7800%,2,B
